應掕擔,巟忈売強,巟忈忣曬,捠徧慄,憱峴曽岦,僉儘掱,埵抲,捈嬋俼,僇儞僩,曃偄検,専弌婍No,専弌嫍棧X,専弌嫍棧Y,婎弨抣,巟忈検,巟忈埵抲,巄掕儔儞僋,應掕懍搙,價僨僆妋擣擔,價僨僆妋擣売強,價僨僆妋擣幰,價僨僆妋擣偵傛傞懳徾暔,巟忈暔妋擣傪峴偆扴摉暘栰,夋憸僼傽僀儖柤,巟忈暔妋擣扴摉媄僙摍,尰抧妋擣偺梫斲,妋擣擔,妋擣幰強懏(夛幮),妋擣幰,應掕梫斲,應掕曽朄,懳徾暔,巟忈愝旛曐庣媄僙摍,幚僉儘掱(m),嵍塃暿,尷奅庬暿,應掕埵抲庬暿,嬋慄俼(m),幚僇儞僩(mm),奼戝悺朄(mm),幚婎弨抣(mm),巟忈桳柍,幚棧傟(mm)X,幚崅偝(mm)Y,幚巟忈検(mm),巟忈埵抲,妋掕儔儞僋,僠僃僢僋,婰帠,慬抲寁夋丒寢壥,TCL(m),ECC丄BCC傑偱(m),嬋慄俼乮戝乯(m),嬋慄俼乮彫乯(m),拞娫TCL(m),EIT丄BIT傑偱(m),嬋慄俼(婲)(m),嬋慄俼乮廔乯(m),BRT偐傜PRC(m),ERT偐傜PRC(m),BRT傑偱(m),巟幮乮庡娗乯採弌擔,巟幮乮搚栘乯採弌擔
2022/9/30 7:35,75,,搶杒杮慄,壓傝,352749,嵍,400,60,0,2,-1941,1066,1947,6,懁曽忋晹,C,39,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:35,83,,搶杒杮慄,壓傝,352772,嵍,400,60,18,2,-1892,1150,1930,38,懁曽忋晹,C,40,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:35,89,,搶杒杮慄,壓傝,352777,嵍,400,60,18,2,-1859,1108,1926,67,懁曽忋晹,C,41,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:35,97,,搶杒杮慄,壓傝,352775,嵍,400,60,33,1,-1574,563,1603,29,懁曽壓晹,C,41,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:35,105,,搶杒杮慄,壓傝,352893,嵍,0,0,11,2,-1807,1016,1900,93,懁曽忋晹,C,45,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,168,,搶杒杮慄,壓傝,353722,嵍,0,0,9,1,-1563,470,1575,12,懁曽壓晹,C,67,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,195,,搶杒杮慄,壓傝,353762,嵍,0,0,8,3,-1821,1280,1900,79,懁曽忋晹,C,70,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,197,,搶杒杮慄,壓傝,353777,嵍,0,0,21,2,-1812,1131,1900,88,懁曽忋晹,C,70,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,208,,搶杒杮慄,壓傝,353803,嵍,0,0,9,1,-1563,495,1575,12,懁曽壓晹,C,70,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,209,,搶杒杮慄,壓傝,353804,嵍,0,0,8,1,-1559,385,1575,16,懁曽壓晹,C,70,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,213,,搶杒杮慄,壓傝,353809,嵍,0,0,16,1,-1561,448,1575,14,懁曽壓晹,C,70,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,221,,搶杒杮慄,壓傝,353823,嵍,0,0,7,2,-1863,1000,1900,37,懁曽忋晹,C,71,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,222,,搶杒杮慄,壓傝,353821,嵍,0,0,7,4,-1855,1736,1900,45,懁曽忋晹(憢晹),C,71,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,223,,搶杒杮慄,壓傝,353817,嵍,0,0,10,1,-1557,438,1575,18,懁曽壓晹,C,71,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,225,,搶杒杮慄,壓傝,353821,嵍,0,0,16,3,-1822,1464,1900,78,懁曽忋晹,C,71,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,232,,搶杒杮慄,壓傝,353830,嵍,0,0,6,4,-1877,1678,1900,23,懁曽忋晹(憢晹),C,71,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,233,,搶杒杮慄,壓傝,353831,嵍,0,0,6,4,-1807,1642,1900,93,懁曽忋晹(憢晹),C,71,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,234,,搶杒杮慄,壓傝,353832,嵍,0,0,7,4,-1855,1648,1900,45,懁曽忋晹(憢晹),C,71,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,239,,搶杒杮慄,壓傝,353839,嵍,0,0,21,2,-1861,1264,1900,39,懁曽忋晹,C,71,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,241,,搶杒杮慄,壓傝,353833,嵍,0,0,20,1,-1815,952,1900,85,懁曽忋晹,C,71,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,244,,搶杒杮慄,壓傝,353839,嵍,0,0,10,3,-1850,1510,1900,50,懁曽忋晹,C,70,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,245,,搶杒杮慄,壓傝,353841,嵍,0,0,8,1,-1565,574,1575,10,懁曽壓晹,C,70,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,247,,搶杒杮慄,壓傝,353848,嵍,0,0,-2,2,-1870,1115,1900,30,懁曽忋晹,C,70,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,248,,搶杒杮慄,壓傝,353847,嵍,0,0,2,4,-1874,1762,1900,26,懁曽忋晹(憢晹),C,70,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,252,,搶杒杮慄,壓傝,353847,嵍,0,0,9,3,-1812,1562,1900,88,懁曽忋晹,C,70,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,268,,搶杒杮慄,壓傝,353867,嵍,0,0,12,3,-1857,1409,1900,43,懁曽忋晹,C,70,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,273,,搶杒杮慄,壓傝,353870,嵍,0,0,13,1,-1829,983,1900,71,懁曽忋晹,C,70,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,281,,搶杒杮慄,壓傝,353879,嵍,0,0,3,4,-1856,1738,1900,44,懁曽忋晹(憢晹),C,70,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,283,,搶杒杮慄,壓傝,353877,嵍,0,0,12,3,-1861,1389,1900,39,懁曽忋晹,C,71,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,291,,搶杒杮慄,壓傝,353893,嵍,0,0,6,4,-1897,1979,1900,3,懁曽忋晹(憢晹),C,71,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,295,,搶杒杮慄,壓傝,353894,嵍,0,0,16,5,-1852,2142,1900,48,懁曽忋晹(憢晹),C,71,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,308,,搶杒杮慄,壓傝,353929,嵍,0,0,-3,2,-1894,1160,1900,6,懁曽忋晹,C,71,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,349,,搶杒杮慄,壓傝,354117,嵍,0,0,16,3,-1854,1435,1900,46,懁曽忋晹,C,72,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,394,,搶杒杮慄,壓傝,354238,塃,700,62,42,26,1581,416,1608,27,懁曽壓晹,C,72,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:36,403,,搶杒杮慄,壓傝,354284,嵍,700,62,43,1,-1593,548,1608,15,懁曽壓晹,C,72,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,429,,搶杒杮慄,壓傝,354660,嵍,0,0,19,1,-1831,1060,1900,69,懁曽忋晹,C,61,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,430,,搶杒杮慄,壓傝,354660,塃,0,0,18,26,1557,413,1575,18,懁曽壓晹,C,61,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,432,,搶杒杮慄,壓傝,354702,嵍,0,0,17,2,-1899,963,1900,1,懁曽忋晹,C,59,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,435,,搶杒杮慄,壓傝,354731,嵍,0,0,13,2,-1881,960,1900,19,懁曽忋晹,C,57,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,439,,搶杒杮慄,壓傝,354737,塃,0,0,15,26,1549,482,1575,26,懁曽壓晹,C,56,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,450,,搶杒杮慄,壓傝,354832,嵍,0,0,21,3,-1846,1398,1900,54,懁曽忋晹,C,50,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,451,,搶杒杮慄,壓傝,354839,嵍,0,0,17,2,-1899,1295,1900,1,懁曽忋晹,C,50,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,452,,搶杒杮慄,壓傝,354839,嵍,0,0,15,2,-1854,1179,1900,46,懁曽忋晹,C,50,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,457,,搶杒杮慄,壓傝,354842,嵍,600,75,6,2,-1851,1309,1900,49,懁曽忋晹,C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,460,,搶杒杮慄,壓傝,354841,嵍,600,75,5,4,-1848,1763,1900,52,懁曽忋晹(憢晹),C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,462,,搶杒杮慄,壓傝,354843,嵍,600,75,9,2,-1855,1065,1901,46,懁曽忋晹,C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,463,,搶杒杮慄,壓傝,354838,嵍,0,0,15,3,-1846,1326,1900,54,懁曽忋晹,C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,464,,搶杒杮慄,壓傝,354838,嵍,0,0,17,3,-1869,1527,1900,31,懁曽忋晹,C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,468,,搶杒杮慄,壓傝,354847,嵍,600,75,15,2,-1816,1090,1902,86,懁曽忋晹,C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,469,S,搶杒杮慄,壓傝,354841,嵍,600,75,13,3,-1875,1386,1900,25,懁曽忋晹,C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,469,E,搶杒杮慄,壓傝,354842,嵍,600,75,14,3,-1825,1502,1900,75,懁曽忋晹,C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,470,,搶杒杮慄,壓傝,354847,嵍,600,75,21,3,-1883,1516,1902,19,懁曽忋晹,C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,480,,搶杒杮慄,壓傝,354960,嵍,600,75,-36,1,-1586,378,1613,27,懁曽壓晹,C,45,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,482,,搶杒杮慄,壓傝,354965,嵍,600,75,-39,1,-1600,458,1613,13,懁曽壓晹,C,46,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,490,,搶杒杮慄,壓傝,354987,嵍,600,75,16,2,-1884,1067,1938,54,懁曽忋晹,C,46,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,493,,搶杒杮慄,壓傝,354982,嵍,600,75,-39,1,-1595,547,1613,18,懁曽壓晹,C,46,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,494,,搶杒杮慄,壓傝,354991,嵍,600,75,16,2,-1852,939,1938,86,懁曽忋晹,C,46,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,500,,搶杒杮慄,壓傝,354988,嵍,600,75,-43,1,-1878,939,1938,60,懁曽忋晹,C,46,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,516,,搶杒杮慄,壓傝,355076,塃,600,75,-43,24,1924,1583,1938,14,懁曽忋晹(憢晹),C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,517,,搶杒杮慄,壓傝,355083,塃,600,75,14,25,1874,976,1938,64,懁曽忋晹,C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,520,,搶杒杮慄,壓傝,355078,塃,600,75,-43,24,1909,1511,1938,29,懁曽忋晹,C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,521,,搶杒杮慄,壓傝,355079,塃,600,75,-41,24,1874,1238,1938,64,懁曽忋晹,C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,525,,搶杒杮慄,壓傝,355083,塃,600,75,-40,24,1882,1406,1938,56,懁曽忋晹,C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,526,,搶杒杮慄,壓傝,355084,塃,600,75,-35,26,1596,439,1613,17,懁曽壓晹,C,49,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,565,,搶杒杮慄,壓傝,355150,嵍,600,75,-37,1,-1592,424,1613,21,懁曽壓晹,C,51,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,572,,搶杒杮慄,壓傝,355167,嵍,600,75,-34,1,-1590,769,1613,23,懁曽壓晹,C,53,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,576,,搶杒杮慄,壓傝,355198,嵍,600,75,-33,1,-1594,466,1613,19,懁曽壓晹,C,54,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,586,,搶杒杮慄,壓傝,355240,塃,600,75,22,25,1924,1192,1938,14,懁曽忋晹,C,55,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,617,,搶杒杮慄,壓傝,355311,塃,600,75,10,25,1865,1103,1931,66,懁曽忋晹,C,52,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:37,635,,搶杒杮慄,壓傝,355334,嵍,600,75,-22,1,-1572,431,1596,24,懁曽壓晹,C,52,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:38,659,,搶杒杮慄,壓傝,355408,嵍,0,0,-2,2,-1816,1083,1900,84,懁曽忋晹,C,55,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:38,666,,搶杒杮慄,壓傝,355410,嵍,0,0,7,3,-1859,1307,1900,41,懁曽忋晹,C,55,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:38,667,,搶杒杮慄,壓傝,355411,嵍,0,0,7,3,-1854,1233,1900,46,懁曽忋晹,C,55,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/30 7:38,669,,搶杒杮慄,壓傝,355412,嵍,0,0,7,3,-1836,1450,1900,64,懁曽忋晹,C,55,,擔杮慄楬媄弍,,憪栘,曐慄,,愬戜曐慄媄弍据腊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
